state,channel,channel_index,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EC,AF3,3,Alpha,-2.8653806453533603e-05,0.00012878852232645725,0.0017414150126555253,1900,7.456968383072105e-05,0.00018903167621060854,0.00015017127902876894
EC,AF3,3,Beta High,-7.509966973271775e-05,0.00010102118991810259,0.0010292367912101649,3420,4.670261145620239e-05,0.0001613751659868806,0.00011665038367427885
EC,AF3,3,Beta Low,-3.331614223229175e-05,6.937723640398608e-05,0.0002616309470288147,1900,6.520534277513739e-05,7.401267376937351e-05,7.877919420134905e-05
EC,AF3,3,Beta Medium,-3.732840365402066e-05,9.475068660640872e-05,0.0006156885459250739,1140,6.0495140201545377e-05,0.00013281240483403465,0.00010899516943608166
EC,AF3,3,Delta,-4.653767721826884e-05,0.00010236846192658919,0.0010620295895566055,1140,2.292673460735605e-05,0.00019063704783684826,0.00011702630640569476
EC,AF3,3,Other,-5.403710995028842e-05,0.00010658014447550744,0.001501716753573177,6080,4.3017280021190736e-05,0.0001772055494247482,0.00012222271347477284
EC,AF3,3,Theta,-4.1612968126503864e-05,7.047096969083422e-05,0.00042828943598095386,1520,4.051368176131443e-05,0.00010375684516807843,8.012026046136814e-05
EC,AF4,4,Alpha,-9.07238329120533e-05,0.00012156629960386764,0.001048096854155106,1900,7.950974315464065e-05,0.00016829580676967545,0.00014020935174504848
EC,AF4,4,Beta High,-7.864105574540575e-05,0.00010511385993815777,0.0006462605441207544,3420,7.699523009244067e-05,0.00013635678198895454,0.00012060819418179238
EC,AF4,4,Beta Low,-0.00010737850072055851,0.00013057190537936345,0.0007755495232458939,1900,5.3929121648563596e-05,0.0002157305539691411,0.0001520640053789584
EC,AF4,4,Beta Medium,-0.00010005570417542122,0.00012108732705572745,0.0008334200691871907,1140,4.895686453882703e-05,0.00020123228540783902,0.00013921923871214393
EC,AF4,4,Delta,-4.664537007171398e-05,8.641618520149709e-05,0.0005000959960228781,1140,4.01573438788916e-05,0.00013781489778216983,9.739849087382189e-05
EC,AF4,4,Other,-6.981940276600564e-05,0.00010492541874298987,0.0008476846433845337,6080,8.047864808500105e-05,0.00013208849725186635,0.0001180628819882327
EC,AF4,4,Theta,-4.8917606260021134e-05,7.666753407394019e-05,0.00031188649636539945,1520,4.66406907687683e-05,0.00011003069330190897,8.835497794725115e-05
EC,C1,26,Alpha,-9.626358435870952e-05,0.00015608849037623948,0.001846388159192709,1900,4.7759126676185676e-05,0.0002764544500429659,0.00017596959079486048
EC,C1,26,Beta High,-3.8217453535031474e-05,0.00010401601520372577,0.0010284835861372487,3420,6.19981643072481e-05,0.00015070251619981207,0.00012046065207884767
EC,C1,26,Beta Low,-2.152231164480834e-05,0.0001479875269426199,0.0014697543449894615,1900,6.701377046098474e-05,0.00023795836747777008,0.00017273000759638317
EC,C1,26,Beta Medium,-0.00010270634869729841,0.0001554810750755767,0.0016342680449264724,1140,6.139551615787603e-05,0.000260020584984133,0.00018233855715125348
EC,C1,26,Delta,-4.5929254566938384e-05,0.00010685983140498123,0.0011979553868616427,1140,3.465919391199392e-05,0.00018708276195274489,0.00012451936576086763
EC,C1,26,Other,-0.00011871270562532556,0.0001691207316899601,0.002264270866199927,6080,2.955231365682922e-05,0.0003241967517267722,0.00019945574558503086
EC,C1,26,Theta,-4.278426990722627e-05,8.493531517062576e-05,0.0005936054810126522,1520,3.2739947849661145e-05,0.00014293016774947532,9.774421224011856e-05
EC,C2,28,Alpha,-5.87294596157553e-05,0.00018598869857848385,0.00289466475063855,1900,3.446308077112148e-05,0.0003543504961422198,0.00021474730539245668
EC,C2,28,Beta High,-0.00015290774686956736,0.00018306666268139466,0.002751204795028571,3420,2.808893178575193e-05,0.00035526414145433104,0.00021623309096937567
EC,C2,28,Beta Low,-3.657712099405725e-06,0.00010997726380802705,0.0010268182547376375,1900,3.796420646502273e-05,0.00018999177196692073,0.00012846763821364524
EC,C2,28,Beta Medium,-3.072452863945582e-05,9.414733153780381e-05,0.0008881198159093052,1140,2.8727332168436963e-05,0.00016683621972598918,0.00010940885372035117
EC,C2,28,Delta,7.879775229369377e-06,0.00011075086593392905,0.0010773654042583619,1140,2.175617179677728e-05,0.00020963385941965326,0.0001291468955402315
EC,C2,28,Other,-0.00023455903195868864,0.000395313480623996,0.006341024240476664,6080,2.3006216110029462e-05,0.0008089882189728477,0.00047045222080453736
EC,C2,28,Theta,-4.874623186400816e-05,9.334633238006101e-05,0.0008938585765003286,1520,2.8480782741326353e-05,0.00016541916531198842,0.00010861590254994544
